state,district,forecast_period,forecast_severity_score,forecast_risk_category,forecast_enrol,forecast_demo,forecast_bio,current_trend
Maharashtra,Akola,2_weeks_ahead,16.72920160853022,Stable,0,6,13,rising
Maharashtra,Amravati,2_weeks_ahead,27.814700528287542,Stable,2,21,52,accelerating_up
Maharashtra,Aurangabad,2_weeks_ahead,8.683194845208629,Stable,0,2,2,declining
Maharashtra,Chandrapur,2_weeks_ahead,30.073681796641733,Stable,1,34,76,accelerating_up
Maharashtra,Jalgaon,2_weeks_ahead,35.90791331693268,Stable,16,162,219,stable
Maharashtra,Kolhapur,2_weeks_ahead,15.499908282930326,Stable,0,10,16,stable
Maharashtra,Mumbai,2_weeks_ahead,18.087472278336136,Stable,0,14,14,rising
Maharashtra,Mumbai City,2_weeks_ahead,8.103413515509054,Stable,0,1,0,stable
Maharashtra,Mumbai( Sub Urban ),2_weeks_ahead,9.398920769942201,Stable,0,0,1,accelerating_up
Maharashtra,Nagpur,2_weeks_ahead,37.616120878432305,Stable,16,248,308,stable
Maharashtra,Nanded,2_weeks_ahead,26.887301964650028,Stable,2,47,72,stable
Maharashtra,Osmanabad,2_weeks_ahead,4.741512384715991,Stable,0,2,0,stable
Maharashtra,Palghar,2_weeks_ahead,30.518204390990377,Stable,10,33,24,accelerating_up
Maharashtra,Pune,2_weeks_ahead,38.00016172560873,Stable,10,112,161,accelerating_up
Maharashtra,Ratnagiri,2_weeks_ahead,4.407056678821172,Stable,0,0,1,stable
Maharashtra,Sangli,2_weeks_ahead,13.115791070536826,Stable,0,4,7,stable
Maharashtra,Sindhudurg,2_weeks_ahead,14.663651796391523,Stable,0,10,11,stable
Maharashtra,Thane,2_weeks_ahead,39.133513453892974,Stable,10,164,213,accelerating_up
Maharashtra,Wardha,2_weeks_ahead,15.781117126393106,Stable,0,8,14,rising
Manipur,Churachandpur,2_weeks_ahead,5.032134473308197,Stable,0,3,0,stable
Mizoram,Aizawl,2_weeks_ahead,13.152311191634258,Stable,1,8,5,declining
Mizoram,Kolasib,2_weeks_ahead,11.800975612382159,Stable,0,4,5,accelerating_down
Mizoram,Lawngtlai,2_weeks_ahead,18.966482197151947,Stable,6,13,22,stable
Mizoram,Lunglei,2_weeks_ahead,19.09565593059899,Stable,3,14,16,stable
Mizoram,Mamit,2_weeks_ahead,12.151960652110596,Stable,0,7,7,stable
Mizoram,Mammit,2_weeks_ahead,11.355891721465358,Stable,0,4,4,stable
Mizoram,Saiha,2_weeks_ahead,22.678905140417985,Stable,10,6,6,accelerating_up
NAGALAND,DIMAPUR,2_weeks_ahead,38.88488429776154,Stable,9,196,218,accelerating_up
NAGALAND,KIPHIRE,2_weeks_ahead,30.862108256842344,Stable,5,50,34,accelerating_up
NAGALAND,KOHIMA,2_weeks_ahead,37.908091935555795,Stable,15,80,162,accelerating_up
NAGALAND,LONGLENG,2_weeks_ahead,25.0971692205864,Stable,2,23,22,accelerating_up
NAGALAND,MOKOKCHUNG,2_weeks_ahead,28.538488329173152,Stable,2,34,32,accelerating_up
NAGALAND,MON,2_weeks_ahead,37.00309148241192,Stable,15,120,114,accelerating_up
NAGALAND,PEREN,2_weeks_ahead,39.341400139890524,Stable,9,200,272,accelerating_up
NAGALAND,PHEK,2_weeks_ahead,27.93668510341774,Stable,2,41,120,accelerating_up
NAGALAND,TUENSANG,2_weeks_ahead,39.10022298102416,Stable,14,131,162,accelerating_up
NAGALAND,WOKHA,2_weeks_ahead,30.034194008528782,Stable,4,32,69,accelerating_up
NAGALAND,ZUNHEBOTO,2_weeks_ahead,33.16469809043125,Stable,5,75,72,accelerating_up
Nagaland,Kohima,2_weeks_ahead,16.58586388405468,Stable,0,9,15,stable
Nagaland,Phek,2_weeks_ahead,11.580088648317814,Stable,0,5,10,declining
Nagaland,Wokha,2_weeks_ahead,10.854857313305786,Stable,0,3,11,accelerating_down
Nagaland,Zunheboto,2_weeks_ahead,14.58661399829729,Stable,0,7,6,rising
ODISHA,ANUGUL,2_weeks_ahead,53.18768474509687,Stable,172,1173,1154,accelerating_down
ODISHA,BALANGIR,2_weeks_ahead,60.80242528381166,Watchlist,278,1490,1528,accelerating_down
ODISHA,BALESHWAR,2_weeks_ahead,64.51568417874532,Watchlist,269,1847,2186,accelerating_down
ODISHA,BARGARH,2_weeks_ahead,57.20035710767035,Watchlist,226,1361,1328,accelerating_down
ODISHA,BHADRAK,2_weeks_ahead,54.21316799194581,Stable,163,1344,1318,accelerating_down
ODISHA,BOUDH,2_weeks_ahead,43.395620860313485,Stable,62,440,534,stable
